CdStationMesureEauxSurface;LbStationMesureEauxSurface;CdSupport;LbSupport;CdFractionAnalysee;LbFractionAnalysee;CdPrelevement;DatePrel;HeurePrel;DateAna;HeureAna;CdParametre;LbLongParamètre;RsAna;CdUniteMesure;SymUniteMesure;CdRqAna;MnemoRqAna;CdInsituAna;LbInsituAna;ProfondeurPrel;CdDifficulteAna;MnemoDifficulteAna;LdAna;LqAna;LsAna;IncertAna;CdMetFractionnement;NomMetFractionnement;CdMethode;NomMethode;RdtExtraction;CdMethodeExtraction;NomMethodeExtraction;CdAccreAna;MnemoAccredAna;AgreAna;CdStatutAna;MnemoStatutAna;CdQualAna;LbQualAna;CommentairesAna;ComResultatAna;CdRdd;NomRdd;CdProducteur;NomProducteur;CdPreleveur;NomPreleveur;CdLaboratoire;NomLaboratoire
"03063000";"LA SEINE A ABLON-SUR-SEINE 2";"3";"Eau";"3";"Phase aqueuse de l'eau (filtrée, centrifugée...)";"20230419085527-PC-543005";2023-07-06;15:04:00;2023-07-07;22:37:00;"1335";"Ammonium";"0.03";"169";"mg(NH4)/L";"1";"Résultat > seuil de quantification et < au seuil de saturation";"2";"Laboratoire";;"0";"Difficultés inconnues";0.003;0.01;;50;;;"359";"Qualité de l'eau - Dosage de l'ammonium - Partie 2 : méthode spectrophotométrique au bleu d'indophénol (NF T90-015-2 Janvier 2000)";;;;"1";"Analyse réalisée sous accréditation";"0";"3";"Donnée contrôlée niveau 2 (données validées)";"1";"Correcte";;;;;"18750009500026";"AGENCE DE L'EAU SEINE-NORMANDIE";"41054531300042";"CARSO - LABORATOIRE SANTE ENVIRONNEMENT HYGIENE DE LYON";"41054531300042";"CARSO - LABORATOIRE SANTE ENVIRONNEMENT HYGIENE DE LYON"
"03063000";"LA SEINE A ABLON-SUR-SEINE 2";"3";"Eau";"3";"Phase aqueuse de l'eau (filtrée, centrifugée...)";"20230516131746-PC-544663";2023-07-10;12:34:00;2023-07-11;08:27:00;"1335";"Ammonium";"0.03";"169";"mg(NH4)/L";"1";"Résultat > seuil de quantification et < au seuil de saturation";"2";"Laboratoire";;"0";"Difficultés inconnues";0.003;0.01;;50;;;"359";"Qualité de l'eau - Dosage de l'ammonium - Partie 2 : méthode spectrophotométrique au bleu d'indophénol (NF T90-015-2 Janvier 2000)";;;;"1";"Analyse réalisée sous accréditation";"0";"3";"Donnée contrôlée niveau 2 (données validées)";"1";"Correcte";;;;;"18750009500166";"AGENCE DE L'EAU SEINE-NORMANDIE";"41054531300042";"CARSO - LABORATOIRE SANTE ENVIRONNEMENT HYGIENE DE LYON";"41054531300042";"CARSO - LABORATOIRE SANTE ENVIRONNEMENT HYGIENE DE LYON"
"03063000";"LA SEINE A ABLON-SUR-SEINE 2";"3";"Eau";"3";"Phase aqueuse de l'eau (filtrée, centrifugée...)";"20230621100457-PC-548447";2023-08-29;09:52:00;2023-08-30;08:14:00;"1335";"Ammonium";"0.06";"169";"mg(NH4)/L";"1";"Résultat > seuil de quantification et < au seuil de saturation";"2";"Laboratoire";;"0";"Difficultés inconnues";0.003;0.01;;50;;;"359";"Qualité de l'eau - Dosage de l'ammonium - Partie 2 : méthode spectrophotométrique au bleu d'indophénol (NF T90-015-2 Janvier 2000)";;;;"1";"Analyse réalisée sous accréditation";"0";"3";"Donnée contrôlée niveau 2 (données validées)";"1";"Correcte";;;;;"18750009500166";"AGENCE DE L'EAU SEINE-NORMANDIE";"41054531300042";"CARSO - LABORATOIRE SANTE ENVIRONNEMENT HYGIENE DE LYON";"41054531300042";"CARSO - LABORATOIRE SANTE ENVIRONNEMENT HYGIENE DE LYON"
"03063000";"LA SEINE A ABLON-SUR-SEINE 2";"3";"Eau";"3";"Phase aqueuse de l'eau (filtrée, centrifugée...)";"20230727103914-PC-551261";2023-09-22;10:36:00;2023-09-23;08:42:00;"1335";"Ammonium";"0.07";"169";"mg(NH4)/L";"1";"Résultat > seuil de quantification et < au seuil de saturation";"2";"Laboratoire";;"0";"Difficultés inconnues";0.003;0.01;;50;;;"359";"Qualité de l'eau - Dosage de l'ammonium - Partie 2 : méthode spectrophotométrique au bleu d'indophénol (NF T90-015-2 Janvier 2000)";;;;"1";"Analyse réalisée sous accréditation";"0";"3";"Donnée contrôlée niveau 2 (données validées)";"1";"Correcte";;;;;"18750009500166";"AGENCE DE L'EAU SEINE-NORMANDIE";"41054531300042";"CARSO - LABORATOIRE SANTE ENVIRONNEMENT HYGIENE DE LYON";"41054531300042";"CARSO - LABORATOIRE SANTE ENVIRONNEMENT HYGIENE DE LYON"
"03063000";"LA SEINE A ABLON-SUR-SEINE 2";"3";"Eau";"3";"Phase aqueuse de l'eau (filtrée, centrifugée...)";"20230731170120-PC-552559";2023-10-11;12:29:00;2023-10-12;08:16:00;"1335";"Ammonium";"0.06";"169";"mg(NH4)/L";"1";"Résultat > seuil de quantification et < au seuil de saturation";"2";"Laboratoire";;"0";"Difficultés inconnues";0.003;0.01;;50;;;"359";"Qualité de l'eau - Dosage de l'ammonium - Partie 2 : méthode spectrophotométrique au bleu d'indophénol (NF T90-015-2 Janvier 2000)";;;;"1";"Analyse réalisée sous accréditation";"0";"3";"Donnée contrôlée niveau 2 (données validées)";"1";"Correcte";;;;;"18750009500166";"AGENCE DE L'EAU SEINE-NORMANDIE";"41054531300042";"CARSO - LABORATOIRE SANTE ENVIRONNEMENT HYGIENE DE LYON";"41054531300042";"CARSO - LABORATOIRE SANTE ENVIRONNEMENT HYGIENE DE LYON"
"03063000";"LA SEINE A ABLON-SUR-SEINE 2";"3";"Eau";"3";"Phase aqueuse de l'eau (filtrée, centrifugée...)";"20231006122123-PC-554929";2023-11-20;11:48:00;2023-11-21;08:21:00;"1335";"Ammonium";"0.05";"169";"mg(NH4)/L";"1";"Résultat > seuil de quantification et < au seuil de saturation";"2";"Laboratoire";;"0";"Difficultés inconnues";0.003;0.01;;50;;;"359";"Qualité de l'eau - Dosage de l'ammonium - Partie 2 : méthode spectrophotométrique au bleu d'indophénol (NF T90-015-2 Janvier 2000)";;;;"1";"Analyse réalisée sous accréditation";"0";"3";"Donnée contrôlée niveau 2 (données validées)";"1";"Correcte";;;;;"18750009500166";"AGENCE DE L'EAU SEINE-NORMANDIE";"41054531300042";"CARSO - LABORATOIRE SANTE ENVIRONNEMENT HYGIENE DE LYON";"41054531300042";"CARSO - LABORATOIRE SANTE ENVIRONNEMENT HYGIENE DE LYON"
"03063000";"LA SEINE A ABLON-SUR-SEINE 2";"3";"Eau";"3";"Phase aqueuse de l'eau (filtrée, centrifugée...)";"20231017113757-PC-556733";2023-12-13;12:13:00;2023-12-14;17:49:00;"1335";"Ammonium";"0.04";"169";"mg(NH4)/L";"1";"Résultat > seuil de quantification et < au seuil de saturation";"2";"Laboratoire";;"0";"Difficultés inconnues";0.003;0.01;;50;;;"359";"Qualité de l'eau - Dosage de l'ammonium - Partie 2 : méthode spectrophotométrique au bleu d'indophénol (NF T90-015-2 Janvier 2000)";;;;"1";"Analyse réalisée sous accréditation";"0";"3";"Donnée contrôlée niveau 2 (données validées)";"1";"Correcte";;;;;"18750009500166";"AGENCE DE L'EAU SEINE-NORMANDIE";"41054531300042";"CARSO - LABORATOIRE SANTE ENVIRONNEMENT HYGIENE DE LYON";"41054531300042";"CARSO - LABORATOIRE SANTE ENVIRONNEMENT HYGIENE DE LYON"
"03063000";"LA SEINE A ABLON-SUR-SEINE 2";"3";"Eau";"3";"Phase aqueuse de l'eau (filtrée, centrifugée...)";"20231213112951-PC-559816";2024-01-23;11:49:00;2024-01-24;08:25:00;"1335";"Ammonium";"0.1";"169";"mg(NH4)/L";"1";"Résultat > seuil de quantification et < au seuil de saturation";"2";"Laboratoire";;"0";"Difficultés inconnues";0.003;0.01;;40;;;"359";"Qualité de l'eau - Dosage de l'ammonium - Partie 2 : méthode spectrophotométrique au bleu d'indophénol (NF T90-015-2 Janvier 2000)";;;;"1";"Analyse réalisée sous accréditation";"0";"3";"Donnée contrôlée niveau 2 (données validées)";"1";"Correcte";;;;;"18750009500166";"AGENCE DE L'EAU SEINE-NORMANDIE";"41054531300042";"CARSO - LABORATOIRE SANTE ENVIRONNEMENT HYGIENE DE LYON";"41054531300042";"CARSO - LABORATOIRE SANTE ENVIRONNEMENT HYGIENE DE LYON"
"03063000";"LA SEINE A ABLON-SUR-SEINE 2";"3";"Eau";"3";"Phase aqueuse de l'eau (filtrée, centrifugée...)";"20240114170410-PC-562080";2024-02-06;10:53:00;2024-02-07;08:39:00;"1335";"Ammonium";"0.07";"169";"mg(NH4)/L";"1";"Résultat > seuil de quantification et < au seuil de saturation";"2";"Laboratoire";;"0";"Difficultés inconnues";0.003;0.01;;40;;;"359";"Qualité de l'eau - Dosage de l'ammonium - Partie 2 : méthode spectrophotométrique au bleu d'indophénol (NF T90-015-2 Janvier 2000)";;;;"1";"Analyse réalisée sous accréditation";"0";"3";"Donnée contrôlée niveau 2 (données validées)";"1";"Correcte";;;;;"18750009500166";"AGENCE DE L'EAU SEINE-NORMANDIE";"41054531300042";"CARSO - LABORATOIRE SANTE ENVIRONNEMENT HYGIENE DE LYON";"41054531300042";"CARSO - LABORATOIRE SANTE ENVIRONNEMENT HYGIENE DE LYON"
"03063000";"LA SEINE A ABLON-SUR-SEINE 2";"3";"Eau";"3";"Phase aqueuse de l'eau (filtrée, centrifugée...)";"20240220104034-PC-565260";2024-03-28;14:46:00;2024-03-29;09:27:00;"1335";"Ammonium";"0.039";"169";"mg(NH4)/L";"1";"Résultat > seuil de quantification et < au seuil de saturation";"2";"Laboratoire";;"0";"Difficultés inconnues";0.003;0.01;;40;;;"359";"Qualité de l'eau - Dosage de l'ammonium - Partie 2 : méthode spectrophotométrique au bleu d'indophénol (NF T90-015-2 Janvier 2000)";;;;"1";"Analyse réalisée sous accréditation";"0";"3";"Donnée contrôlée niveau 2 (données validées)";"1";"Correcte";;;;;"18750009500166";"AGENCE DE L'EAU SEINE-NORMANDIE";"41054531300042";"CARSO - LABORATOIRE SANTE ENVIRONNEMENT HYGIENE DE LYON";"41054531300042";"CARSO - LABORATOIRE SANTE ENVIRONNEMENT HYGIENE DE LYON"
