CdStationMesureEauxSurface;LbStationMesureEauxSurface;CdPointEauxSurf;CdSupport;LbSupport;DateDebutOperationPrelBio;CdParametreEnv;LbLongParametre;RsParEnvOpPrelBio;CdUniteMesure;SymUniteMesure;CdRqParEnvPrelBio;MnemoRqParEnvPrelBio;CdMethodeParEnvPrelBio;NomMethodeParEnvPrelBio;RefOperationPrelBio;CdStatutParEnvPrelBio;MnStatutParEnvPrelBio;CdQualParEnvPrelBio;LbQualParEnvPrelBio;DateParEnvPrelBio;CdProducteur;NomProducteur
3079622;LE RÉVEILLON A VILLECRESNES 2;005;4;Poissons;2006-06-29;1303;Conductivité à 25°C;760.0;147;µS/cm;1;Résultat > seuil de quantification et < au seuil de saturation;0;Méthode inconnue;Aspe1719eta2_SurfEchMc583.00_SBVDKmc88.00_DSrcKm16.00_LarMEauM5.30_PntCEPM2.90_ProfMStaM0.72_AltM59_TAir1C4.1_TAir7C19.8;1;Donnée brute;0;Qualification non definissable;2006-06-29;13002591902128;OFFICE FRANCAIS DE LA BIODIVERSITE - OFB DIRECTION REGIONALE ILE DE FRANCE (OFB)
3079622;LE RÉVEILLON A VILLECRESNES 2;005;4;Poissons;2001-05-17;1301;Température de l'Eau;15.3;27;°C;1;Résultat > seuil de quantification et < au seuil de saturation;0;Méthode inconnue;Aspe963eta1_2001-05-17_14:00:00_03079622;1;Donnée brute;1;Correcte;2001-05-17;13002591902128;OFFICE FRANCAIS DE LA BIODIVERSITE - OFB DIRECTION REGIONALE ILE DE FRANCE (OFB)
3063000;LA SEINE A ABLON-SUR-SEINE 2;007;27;Macrophytes;2011-08-16;1425;Conditions météorologiques pendant le prélèvement;Ensoleillé;X;X;1;Résultat > seuil de quantification et < au seuil de saturation;0;Méthode inconnue;20180130182957-HB-10688;1;Donnée brute;4;Non qualifié;2011-08-16;18750009500026;AGENCE DE L'EAU SEINE-NORMANDIE
3063000;LA SEINE A ABLON-SUR-SEINE 2;005;4;Poissons;1998-05-26;1301;Température de l'Eau;18.4;27;°C;1;Résultat > seuil de quantification et < au seuil de saturation;0;Méthode inconnue;Aspe924eta1_1998-05-26_15:00:00_03063000;1;Donnée brute;1;Correcte;1998-05-26;13002591902128;OFFICE FRANCAIS DE LA BIODIVERSITE - OFB DIRECTION REGIONALE ILE DE FRANCE (OFB)
3112480;LA MARNE A CHARENTON-LE-PONT 2;005;4;Poissons;1996-05-29;1303;Conductivité à 25°C;455.0;147;µS/cm;1;Résultat > seuil de quantification et < au seuil de saturation;0;Méthode inconnue;Aspe893eta1_1996-05-29_10:20:00_03112480;1;Donnée brute;0;Qualification non definissable;1996-05-29;13002591902128;OFFICE FRANCAIS DE LA BIODIVERSITE - OFB DIRECTION REGIONALE ILE DE FRANCE (OFB)
3063000;LA SEINE A ABLON-SUR-SEINE 2;008;11;Phytoplancton;2020-06-15;5916;Bloom algal;0;X;X;1;Résultat > seuil de quantification et < au seuil de saturation;0;Méthode inconnue;20220104120756-HB-505753;2;Donnée contrôlée niveau 1 (données contrôlées);1;Correcte;2020-06-15;18750009500026;AGENCE DE L'EAU SEINE-NORMANDIE
3063000;LA SEINE A ABLON-SUR-SEINE 2;005;4;Poissons;2018-09-27;1303;Conductivité à 25°C;420.0;147;µS/cm;1;Résultat > seuil de quantification et < au seuil de saturation;0;Méthode inconnue;Aspe39372eta2_SurfEchMc1250.0_SBVDKmc33101.0_DSrcKm411.0_LarMEauM132.0_PntCEPM0.1_ProfMStaM3.91_AltM32_TAir1C4.5_TAir7C20.4;1;Donnée brute;0;Qualification non definissable;2018-09-27;13002591902128;OFFICE FRANCAIS DE LA BIODIVERSITE - OFB DIRECTION REGIONALE ILE DE FRANCE (OFB)
3112480;LA MARNE A CHARENTON-LE-PONT 2;007;27;Macrophytes;2020-08-03;5473;Visibilité du fond;Visibilité moyenne : doute sur l'identification de certains substrats ou visibilité réduite;X;X;1;Résultat > seuil de quantification et < au seuil de saturation;0;Méthode inconnue;20210909144650-HB-498381;2;Donnée contrôlée niveau 1 (données contrôlées);1;Correcte;2020-08-03;18750009500026;AGENCE DE L'EAU SEINE-NORMANDIE
3079622;LE RÉVEILLON A VILLECRESNES 2;007;27;Macrophytes;2018-08-08;5473;Visibilité du fond;Bonne visibilité : substrats identifiables sans erreur;X;X;1;Résultat > seuil de quantification et < au seuil de saturation;0;Méthode inconnue;20190327182054-HB-346689;1;Donnée brute;4;Non qualifié;2018-08-08;18750009500026;AGENCE DE L'EAU SEINE-NORMANDIE
3079622;LE RÉVEILLON A VILLECRESNES 2;007;27;Macrophytes;2022-07-20;6498;Turbidite;Nulle;X;X;1;Résultat > seuil de quantification et < au seuil de saturation;0;Méthode inconnue;20230703214826-HB-549850;2;Donnée contrôlée niveau 1 (données contrôlées);1;Correcte;2022-07-20;18750009500026;AGENCE DE L'EAU SEINE-NORMANDIE
3112480;LA MARNE A CHARENTON-LE-PONT 2;005;4;Poissons;2006-06-21;1303;Conductivité à 25°C;580.0;147;µS/cm;1;Résultat > seuil de quantification et < au seuil de saturation;0;Méthode inconnue;Aspe1631eta2_SurfEchMc1250.00_SBVDKmc12752.00_DSrcKm493.00_LarMEauM75.00_PntCEPM0.10_ProfMStaM3.40_AltM35_TAir1C4.5_TAir7C20.3;1;Donnée brute;0;Qualification non definissable;2006-06-21;13002591902128;OFFICE FRANCAIS DE LA BIODIVERSITE - OFB DIRECTION REGIONALE ILE DE FRANCE (OFB)
3112480;LA MARNE A CHARENTON-LE-PONT 2;004;10;Diatomées benthiques;2021-09-22;1725;Situation hydrologique;Etiage;X;X;1;Résultat > seuil de quantification et < au seuil de saturation;0;Méthode inconnue;20220818101725-HB-524936;2;Donnée contrôlée niveau 1 (données contrôlées);1;Correcte;2021-09-22;18750009500026;AGENCE DE L'EAU SEINE-NORMANDIE
3063000;LA SEINE A ABLON-SUR-SEINE 2;005;4;Poissons;2000-04-17;1303;Conductivité à 25°C;526.0;147;µS/cm;1;Résultat > seuil de quantification et < au seuil de saturation;0;Méthode inconnue;Aspe956eta1_2000-04-17_14:00:00_03063000;1;Donnée brute;0;Qualification non definissable;2000-04-17;13002591902128;OFFICE FRANCAIS DE LA BIODIVERSITE - OFB DIRECTION REGIONALE ILE DE FRANCE (OFB)
3063000;LA SEINE A ABLON-SUR-SEINE 2;005;4;Poissons;1997-05-21;1301;Température de l'Eau;18.0;27;°C;1;Résultat > seuil de quantification et < au seuil de saturation;0;Méthode inconnue;Aspe910eta1_1997-05-21_15:00:00_03063000;1;Donnée brute;1;Correcte;1997-05-21;13002591902128;OFFICE FRANCAIS DE LA BIODIVERSITE - OFB DIRECTION REGIONALE ILE DE FRANCE (OFB)
3063000;LA SEINE A ABLON-SUR-SEINE 2;008;11;Phytoplancton;2021-08-23;1425;Conditions météorologiques pendant le prélèvement;Pluie fine;X;X;1;Résultat > seuil de quantification et < au seuil de saturation;0;Méthode inconnue;20220823100214-HB-526417;2;Donnée contrôlée niveau 1 (données contrôlées);1;Correcte;2021-08-23;18750009500026;AGENCE DE L'EAU SEINE-NORMANDIE
3063000;LA SEINE A ABLON-SUR-SEINE 2;005;4;Poissons;2015-08-19;1301;Température de l'Eau;22.1;27;°C;1;Résultat > seuil de quantification et < au seuil de saturation;0;Méthode inconnue;Aspe5001eta1_2015-08-19_08:30:00_03063000;1;Donnée brute;1;Correcte;2015-08-19;13002591902128;OFFICE FRANCAIS DE LA BIODIVERSITE - OFB DIRECTION REGIONALE ILE DE FRANCE (OFB)
3112480;LA MARNE A CHARENTON-LE-PONT 2;005;4;Poissons;1998-05-27;1303;Conductivité à 25°C;565.0;147;µS/cm;1;Résultat > seuil de quantification et < au seuil de saturation;0;Méthode inconnue;Aspe929eta1_1998-05-27_10:30:00_03112480;1;Donnée brute;0;Qualification non definissable;1998-05-27;13002591902128;OFFICE FRANCAIS DE LA BIODIVERSITE - OFB DIRECTION REGIONALE ILE DE FRANCE (OFB)
3063000;LA SEINE A ABLON-SUR-SEINE 2;005;4;Poissons;2004-06-15;1303;Conductivité à 25°C;510.0;147;µS/cm;1;Résultat > seuil de quantification et < au seuil de saturation;0;Méthode inconnue;Aspe1478eta2_SurfEchMc1347.00_SBVDKmc33101.00_DSrcKm411.00_LarMEauM150.00_PntCEPM0.10_ProfMStaM3.65_AltM29_TAir1C4.5_TAir7C20.4;1;Donnée brute;0;Qualification non definissable;2004-06-15;13002591902128;OFFICE FRANCAIS DE LA BIODIVERSITE - OFB DIRECTION REGIONALE ILE DE FRANCE (OFB)
3063000;LA SEINE A ABLON-SUR-SEINE 2;007;27;Macrophytes;2015-07-21;1725;Situation hydrologique;Moyennes eaux;X;X;1;Résultat > seuil de quantification et < au seuil de saturation;0;Méthode inconnue;20180130182957-HB-10690;1;Donnée brute;4;Non qualifié;2015-07-21;18750009500026;AGENCE DE L'EAU SEINE-NORMANDIE
3063000;LA SEINE A ABLON-SUR-SEINE 2;004;10;Diatomées benthiques;2018-07-19;1725;Situation hydrologique;Etiage;X;X;1;Résultat > seuil de quantification et < au seuil de saturation;0;Méthode inconnue;20190327180826-HB-346433;1;Donnée brute;4;Non qualifié;2018-07-19;18750009500026;AGENCE DE L'EAU SEINE-NORMANDIE
