CdStationMesureEauxSurface;LbStationMesureEauxSurface;CdPointEauxSurf;DateDebutOperationPrelBio;CdSupport;LbSupport;DtProdResultatBiologique;HeureResultat;CdParametreResultatBiologique;LbLongParametre;ResIndiceResultatBiologique;CdUniteMesure;SymUniteMesure;CdRqIndiceResultatBiologique;MnemoRqAna;CdMethEval;RefOperationPrelBio;CdProducteur;NomProducteur;CdAccredRsIndiceResultatBiologique;MnAccredRsIndiceResultatBiologique
3063000;LA SEINE A ABLON-SUR-SEINE 2;003;2010-09-01;13;Macroinvertébrés aquatiques;;;6951;Indice macroinvertébrés grands cours d'eau - 12 prélèvements;16;32;‰ vs SMOW;1;Résultat > seuil de quantification et < au seuil de saturation;;20180130180112-HB-6664;13001220600012;DIRECTION REGIONALE ET INTERDEPARTEMENTALE DE L'ENVIRONNEMENT ET DE L'ENERGIE ILE DE FRANCE (DRIEE-IF);0;Inconnu
3063000;LA SEINE A ABLON-SUR-SEINE 2;003;2010-09-01;13;Macroinvertébrés aquatiques;;;6955;Variété taxonomique macroinvertébrés grands cours d'eau - 12 prélèvements;38;32;‰ vs SMOW;1;Résultat > seuil de quantification et < au seuil de saturation;;20180130180112-HB-6664;13001220600012;DIRECTION REGIONALE ET INTERDEPARTEMENTALE DE L'ENVIRONNEMENT ET DE L'ENERGIE ILE DE FRANCE (DRIEE-IF);0;Inconnu
3063000;LA SEINE A ABLON-SUR-SEINE 2;003;2010-09-01;13;Macroinvertébrés aquatiques;;;6959;Groupe Faunistique Indicateur macroinvertébrés grands cours d'eau - 12 prélèvements;6;32;‰ vs SMOW;1;Résultat > seuil de quantification et < au seuil de saturation;;20180130180112-HB-6664;13001220600012;DIRECTION REGIONALE ET INTERDEPARTEMENTALE DE L'ENVIRONNEMENT ET DE L'ENERGIE ILE DE FRANCE (DRIEE-IF);0;Inconnu
3063000;LA SEINE A ABLON-SUR-SEINE 2;003;2011-09-07;13;Macroinvertébrés aquatiques;;;6951;Indice macroinvertébrés grands cours d'eau - 12 prélèvements;14;32;‰ vs SMOW;1;Résultat > seuil de quantification et < au seuil de saturation;;20180130180112-HB-6663;18750009500026;AGENCE DE L'EAU SEINE-NORMANDIE;0;Inconnu
3063000;LA SEINE A ABLON-SUR-SEINE 2;003;2011-09-07;13;Macroinvertébrés aquatiques;;;6955;Variété taxonomique macroinvertébrés grands cours d'eau - 12 prélèvements;33;214;n;1;Résultat > seuil de quantification et < au seuil de saturation;;20180130180112-HB-6663;18750009500026;AGENCE DE L'EAU SEINE-NORMANDIE;0;Inconnu
3063000;LA SEINE A ABLON-SUR-SEINE 2;003;2011-09-07;13;Macroinvertébrés aquatiques;;;6959;Groupe Faunistique Indicateur macroinvertébrés grands cours d'eau - 12 prélèvements;5;32;‰ vs SMOW;1;Résultat > seuil de quantification et < au seuil de saturation;;20180130180112-HB-6663;18750009500026;AGENCE DE L'EAU SEINE-NORMANDIE;0;Inconnu
3063000;LA SEINE A ABLON-SUR-SEINE 2;003;2012-08-07;13;Macroinvertébrés aquatiques;;;6951;Indice macroinvertébrés grands cours d'eau - 12 prélèvements;16;32;‰ vs SMOW;1;Résultat > seuil de quantification et < au seuil de saturation;;20180130180112-HB-6665;18750009500026;AGENCE DE L'EAU SEINE-NORMANDIE;0;Inconnu
3063000;LA SEINE A ABLON-SUR-SEINE 2;003;2012-08-07;13;Macroinvertébrés aquatiques;;;6955;Variété taxonomique macroinvertébrés grands cours d'eau - 12 prélèvements;41;214;n;1;Résultat > seuil de quantification et < au seuil de saturation;;20180130180112-HB-6665;18750009500026;AGENCE DE L'EAU SEINE-NORMANDIE;0;Inconnu
3063000;LA SEINE A ABLON-SUR-SEINE 2;003;2012-08-07;13;Macroinvertébrés aquatiques;;;6959;Groupe Faunistique Indicateur macroinvertébrés grands cours d'eau - 12 prélèvements;5;32;‰ vs SMOW;1;Résultat > seuil de quantification et < au seuil de saturation;;20180130180112-HB-6665;18750009500026;AGENCE DE L'EAU SEINE-NORMANDIE;0;Inconnu
3063000;LA SEINE A ABLON-SUR-SEINE 2;003;2013-07-31;13;Macroinvertébrés aquatiques;;;6951;Indice macroinvertébrés grands cours d'eau - 12 prélèvements;15;X;X;1;Résultat > seuil de quantification et < au seuil de saturation;;20180130180112-HB-6666;18750009500026;AGENCE DE L'EAU SEINE-NORMANDIE;0;Inconnu
3063000;LA SEINE A ABLON-SUR-SEINE 2;003;2013-07-31;13;Macroinvertébrés aquatiques;;;6955;Variété taxonomique macroinvertébrés grands cours d'eau - 12 prélèvements;38;214;n;1;Résultat > seuil de quantification et < au seuil de saturation;;20180130180112-HB-6666;18750009500026;AGENCE DE L'EAU SEINE-NORMANDIE;0;Inconnu
3063000;LA SEINE A ABLON-SUR-SEINE 2;003;2013-07-31;13;Macroinvertébrés aquatiques;;;6959;Groupe Faunistique Indicateur macroinvertébrés grands cours d'eau - 12 prélèvements;5;X;X;1;Résultat > seuil de quantification et < au seuil de saturation;;20180130180112-HB-6666;18750009500026;AGENCE DE L'EAU SEINE-NORMANDIE;0;Inconnu
3063000;LA SEINE A ABLON-SUR-SEINE 2;003;2014-07-16;13;Macroinvertébrés aquatiques;;;6951;Indice macroinvertébrés grands cours d'eau - 12 prélèvements;14;X;X;1;Résultat > seuil de quantification et < au seuil de saturation;;20180130180112-HB-6667;18750009500026;AGENCE DE L'EAU SEINE-NORMANDIE;0;Inconnu
3063000;LA SEINE A ABLON-SUR-SEINE 2;003;2014-07-16;13;Macroinvertébrés aquatiques;;;6955;Variété taxonomique macroinvertébrés grands cours d'eau - 12 prélèvements;36;214;n;1;Résultat > seuil de quantification et < au seuil de saturation;;20180130180112-HB-6667;18750009500026;AGENCE DE L'EAU SEINE-NORMANDIE;0;Inconnu
3063000;LA SEINE A ABLON-SUR-SEINE 2;003;2014-07-16;13;Macroinvertébrés aquatiques;;;6959;Groupe Faunistique Indicateur macroinvertébrés grands cours d'eau - 12 prélèvements;5;X;X;1;Résultat > seuil de quantification et < au seuil de saturation;;20180130180112-HB-6667;18750009500026;AGENCE DE L'EAU SEINE-NORMANDIE;0;Inconnu
3063000;LA SEINE A ABLON-SUR-SEINE 2;003;2015-06-18;13;Macroinvertébrés aquatiques;;;6951;Indice macroinvertébrés grands cours d'eau - 12 prélèvements;13;X;X;1;Résultat > seuil de quantification et < au seuil de saturation;;20180130180112-HB-6668;18750009500026;AGENCE DE L'EAU SEINE-NORMANDIE;0;Inconnu
3063000;LA SEINE A ABLON-SUR-SEINE 2;003;2015-06-18;13;Macroinvertébrés aquatiques;;;6955;Variété taxonomique macroinvertébrés grands cours d'eau - 12 prélèvements;29;214;n;1;Résultat > seuil de quantification et < au seuil de saturation;;20180130180112-HB-6668;18750009500026;AGENCE DE L'EAU SEINE-NORMANDIE;0;Inconnu
3063000;LA SEINE A ABLON-SUR-SEINE 2;003;2015-06-18;13;Macroinvertébrés aquatiques;;;6959;Groupe Faunistique Indicateur macroinvertébrés grands cours d'eau - 12 prélèvements;5;X;X;1;Résultat > seuil de quantification et < au seuil de saturation;;20180130180112-HB-6668;18750009500026;AGENCE DE L'EAU SEINE-NORMANDIE;0;Inconnu
3063000;LA SEINE A ABLON-SUR-SEINE 2;003;2016-08-17;13;Macroinvertébrés aquatiques;;;6951;Indice macroinvertébrés grands cours d'eau - 12 prélèvements;18;X;X;1;Résultat > seuil de quantification et < au seuil de saturation;;20180228165837-HB-20278;18750009500026;AGENCE DE L'EAU SEINE-NORMANDIE;0;Inconnu
3063000;LA SEINE A ABLON-SUR-SEINE 2;003;2016-08-17;13;Macroinvertébrés aquatiques;;;6955;Variété taxonomique macroinvertébrés grands cours d'eau - 12 prélèvements;40;214;n;1;Résultat > seuil de quantification et < au seuil de saturation;;20180228165837-HB-20278;18750009500026;AGENCE DE L'EAU SEINE-NORMANDIE;0;Inconnu
3063000;LA SEINE A ABLON-SUR-SEINE 2;003;2016-08-17;13;Macroinvertébrés aquatiques;;;6959;Groupe Faunistique Indicateur macroinvertébrés grands cours d'eau - 12 prélèvements;8;X;X;1;Résultat > seuil de quantification et < au seuil de saturation;;20180228165837-HB-20278;18750009500026;AGENCE DE L'EAU SEINE-NORMANDIE;0;Inconnu
3063000;LA SEINE A ABLON-SUR-SEINE 2;003;2017-08-17;13;Macroinvertébrés aquatiques;;;6951;Indice macroinvertébrés grands cours d'eau - 12 prélèvements;18;X;X;1;Résultat > seuil de quantification et < au seuil de saturation;;20190205185832-HB-30569;18750009500026;AGENCE DE L'EAU SEINE-NORMANDIE;0;Inconnu
3063000;LA SEINE A ABLON-SUR-SEINE 2;003;2017-08-17;13;Macroinvertébrés aquatiques;;;6955;Variété taxonomique macroinvertébrés grands cours d'eau - 12 prélèvements;45;214;n;1;Résultat > seuil de quantification et < au seuil de saturation;;20190205185832-HB-30569;18750009500026;AGENCE DE L'EAU SEINE-NORMANDIE;0;Inconnu
3063000;LA SEINE A ABLON-SUR-SEINE 2;003;2017-08-17;13;Macroinvertébrés aquatiques;;;6959;Groupe Faunistique Indicateur macroinvertébrés grands cours d'eau - 12 prélèvements;6;X;X;1;Résultat > seuil de quantification et < au seuil de saturation;;20190205185832-HB-30569;18750009500026;AGENCE DE L'EAU SEINE-NORMANDIE;0;Inconnu
3063000;LA SEINE A ABLON-SUR-SEINE 2;003;2017-08-17;13;Macroinvertébrés aquatiques;;;7613;Indice Invertébrés Multimétrique (I2M2);0.4886;X;X;1;Résultat > seuil de quantification et < au seuil de saturation;;20190205185832-HB-30569;18750009500026;AGENCE DE L'EAU SEINE-NORMANDIE;0;Inconnu
3063000;LA SEINE A ABLON-SUR-SEINE 2;003;2017-08-17;13;Macroinvertébrés aquatiques;;;8050;Nombre de taxons contributifs de l'I2M2;59;X;X;1;Résultat > seuil de quantification et < au seuil de saturation;;20190205185832-HB-30569;18750009500026;AGENCE DE L'EAU SEINE-NORMANDIE;0;Inconnu
3063000;LA SEINE A ABLON-SUR-SEINE 2;003;2017-08-17;13;Macroinvertébrés aquatiques;;;8054;Métrique Richesse Taxonomique de l'I2M2;0.6346;X;X;1;Résultat > seuil de quantification et < au seuil de saturation;;20190205185832-HB-30569;18750009500026;AGENCE DE L'EAU SEINE-NORMANDIE;0;Inconnu
3063000;LA SEINE A ABLON-SUR-SEINE 2;003;2017-08-17;13;Macroinvertébrés aquatiques;;;8055;Métrique Ovoviviparite de l'I2M2;0.1445;X;X;1;Résultat > seuil de quantification et < au seuil de saturation;;20190205185832-HB-30569;18750009500026;AGENCE DE L'EAU SEINE-NORMANDIE;0;Inconnu
3063000;LA SEINE A ABLON-SUR-SEINE 2;003;2017-08-17;13;Macroinvertébrés aquatiques;;;8056;Métrique Polyvoltinisme de l'I2M2;0.6815;X;X;1;Résultat > seuil de quantification et < au seuil de saturation;;20190205185832-HB-30569;18750009500026;AGENCE DE L'EAU SEINE-NORMANDIE;0;Inconnu
3063000;LA SEINE A ABLON-SUR-SEINE 2;003;2017-08-17;13;Macroinvertébrés aquatiques;;;8057;Métrique ASPT de l'I2M2;0.5108;X;X;1;Résultat > seuil de quantification et < au seuil de saturation;;20190205185832-HB-30569;18750009500026;AGENCE DE L'EAU SEINE-NORMANDIE;0;Inconnu
3063000;LA SEINE A ABLON-SUR-SEINE 2;003;2017-08-17;13;Macroinvertébrés aquatiques;;;8058;Métrique Indice de Shannon de l'I2M2;0.5258;X;X;1;Résultat > seuil de quantification et < au seuil de saturation;;20190205185832-HB-30569;18750009500026;AGENCE DE L'EAU SEINE-NORMANDIE;0;Inconnu
3063000;LA SEINE A ABLON-SUR-SEINE 2;003;2018-08-04;13;Macroinvertébrés aquatiques;;;6951;Indice macroinvertébrés grands cours d'eau - 12 prélèvements;16;X;X;1;Résultat > seuil de quantification et < au seuil de saturation;;20190327181321-HB-346668;18750009500026;AGENCE DE L'EAU SEINE-NORMANDIE;0;Inconnu
3063000;LA SEINE A ABLON-SUR-SEINE 2;003;2018-08-04;13;Macroinvertébrés aquatiques;;;6955;Variété taxonomique macroinvertébrés grands cours d'eau - 12 prélèvements;37;X;X;1;Résultat > seuil de quantification et < au seuil de saturation;;20190327181321-HB-346668;18750009500026;AGENCE DE L'EAU SEINE-NORMANDIE;0;Inconnu
3063000;LA SEINE A ABLON-SUR-SEINE 2;003;2018-08-04;13;Macroinvertébrés aquatiques;;;6959;Groupe Faunistique Indicateur macroinvertébrés grands cours d'eau - 12 prélèvements;6;X;X;1;Résultat > seuil de quantification et < au seuil de saturation;;20190327181321-HB-346668;18750009500026;AGENCE DE L'EAU SEINE-NORMANDIE;0;Inconnu
