Id,CdStationMesureEauxSurface,LbStationMesureEauxSurface,CdSupport,LbSupport,CdFractionAnalysee,LbFractionAnalysee,CdPrelevement,DatePrel,HeurePrel,DateAna,HeureAna,CdParametre,LbLongParamètre,RsAna,CdUniteMesure,SymUniteMesure
0,03063000,LA SEINE A ABLON-SUR-SEINE 2,3,Eau,3,"Phase aqueuse de l'eau (filtrée, centrifugée...)",20230419085527-PC-543005,2023-07-06,15:04:00,2023-07-07,22:37:00,1335,Ammonium,0.03,169,mg(NH4)/L
1,03063000,LA SEINE A ABLON-SUR-SEINE 2,3,Eau,3,"Phase aqueuse de l'eau (filtrée, centrifugée...)",20230516131746-PC-544663,2023-07-10,12:34:00,2023-07-11,08:27:00,1335,Ammonium,0.03,169,mg(NH4)/L
2,03063000,LA SEINE A ABLON-SUR-SEINE 2,3,Eau,3,"Phase aqueuse de l'eau (filtrée, centrifugée...)",20230621100457-PC-548447,2023-08-29,09:52:00,2023-08-30,08:14:00,1335,Ammonium,0.06,169,mg(NH4)/L
3,03063000,LA SEINE A ABLON-SUR-SEINE 2,3,Eau,3,"Phase aqueuse de l'eau (filtrée, centrifugée...)",20230727103914-PC-551261,2023-09-22,10:36:00,2023-09-23,08:42:00,1335,Ammonium,0.07,169,mg(NH4)/L
4,03063000,LA SEINE A ABLON-SUR-SEINE 2,3,Eau,3,"Phase aqueuse de l'eau (filtrée, centrifugée...)",20230731170120-PC-552559,2023-10-11,12:29:00,2023-10-12,08:16:00,1335,Ammonium,0.06,169,mg(NH4)/L
5,03063000,LA SEINE A ABLON-SUR-SEINE 2,3,Eau,3,"Phase aqueuse de l'eau (filtrée, centrifugée...)",20231006122123-PC-554929,2023-11-20,11:48:00,2023-11-21,08:21:00,1335,Ammonium,0.05,169,mg(NH4)/L
6,03063000,LA SEINE A ABLON-SUR-SEINE 2,3,Eau,3,"Phase aqueuse de l'eau (filtrée, centrifugée...)",20231017113757-PC-556733,2023-12-13,12:13:00,2023-12-14,17:49:00,1335,Ammonium,0.04,169,mg(NH4)/L
7,03063000,LA SEINE A ABLON-SUR-SEINE 2,3,Eau,3,"Phase aqueuse de l'eau (filtrée, centrifugée...)",20231213112951-PC-559816,2024-01-23,11:49:00,2024-01-24,08:25:00,1335,Ammonium,0.1,169,mg(NH4)/L
8,03063000,LA SEINE A ABLON-SUR-SEINE 2,3,Eau,3,"Phase aqueuse de l'eau (filtrée, centrifugée...)",20240114170410-PC-562080,2024-02-06,10:53:00,2024-02-07,08:39:00,1335,Ammonium,0.07,169,mg(NH4)/L
9,03063000,LA SEINE A ABLON-SUR-SEINE 2,3,Eau,3,"Phase aqueuse de l'eau (filtrée, centrifugée...)",20240220104034-PC-565260,2024-03-28,14:46:00,2024-03-29,09:27:00,1335,Ammonium,0.039,169,mg(NH4)/L
10,03063000,LA SEINE A ABLON-SUR-SEINE 2,3,Eau,3,"Phase aqueuse de l'eau (filtrée, centrifugée...)",20240318180133-PC-566882,2024-04-17,10:27:00,2024-04-18,08:43:00,1335,Ammonium,0.045,169,mg(NH4)/L
11,03063000,LA SEINE A ABLON-SUR-SEINE 2,3,Eau,3,"Phase aqueuse de l'eau (filtrée, centrifugée...)",20240321164144-PC-568570,2024-05-21,12:02:00,2024-05-22,09:13:00,1335,Ammonium,0.05,169,mg(NH4)/L
12,03063000,LA SEINE A ABLON-SUR-SEINE 2,3,Eau,3,"Phase aqueuse de l'eau (filtrée, centrifugée...)",20240404103734-PC-570308,2024-06-07,10:49:00,2024-06-08,08:07:00,1335,Ammonium,0.04,169,mg(NH4)/L
13,03063000,LA SEINE A ABLON-SUR-SEINE 2,3,Eau,3,"Phase aqueuse de l'eau (filtrée, centrifugée...)",20240605164835-PC-574026,2024-07-18,10:26:00,2024-07-19,08:52:00,1335,Ammonium,0.03,169,mg(NH4)/L
14,03063000,LA SEINE A ABLON-SUR-SEINE 2,3,Eau,3,"Phase aqueuse de l'eau (filtrée, centrifugée...)",20240607130423-PC-575460,2024-08-05,12:06:00,2024-08-06,08:17:00,1335,Ammonium,0.04,169,mg(NH4)/L
15,03063000,LA SEINE A ABLON-SUR-SEINE 2,3,Eau,3,"Phase aqueuse de l'eau (filtrée, centrifugée...)",20240710152033-PC-577847,2024-09-19,11:44:00,2024-09-20,09:16:00,1335,Ammonium,0.04,169,mg(NH4)/L
16,03063000,LA SEINE A ABLON-SUR-SEINE 2,3,Eau,3,"Phase aqueuse de l'eau (filtrée, centrifugée...)",20240808095807-PC-579962,2024-10-09,11:11:00,2024-10-10,11:35:00,1335,Ammonium,0.04,169,mg(NH4)/L
17,03063000,LA SEINE A ABLON-SUR-SEINE 2,3,Eau,3,"Phase aqueuse de l'eau (filtrée, centrifugée...)",20241018150123-PC-583672,2024-12-23,11:41:00,2024-12-24,02:06:00,1335,Ammonium,0.07,169,mg(NH4)/L
18,03063000,LA SEINE A ABLON-SUR-SEINE 2,3,Eau,3,"Phase aqueuse de l'eau (filtrée, centrifugée...)",20241209134506-PC-586784,2025-01-21,10:23:00,2025-01-22,03:10:00,1335,Ammonium,0.04,169,mg(NH4)/L
19,03063000,LA SEINE A ABLON-SUR-SEINE 2,3,Eau,3,"Phase aqueuse de l'eau (filtrée, centrifugée...)",20250113160144-PC-588135,2025-02-07,11:38:00,2025-02-08,11:05:00,1335,Ammonium,0.08,169,mg(NH4)/L
20,03063000,LA SEINE A ABLON-SUR-SEINE 2,3,Eau,3,"Phase aqueuse de l'eau (filtrée, centrifugée...)",20250130140014-PC-589284,2025-03-14,11:16:00,2025-03-15,15:19:00,1335,Ammonium,0.04,169,mg(NH4)/L
21,03063000,LA SEINE A ABLON-SUR-SEINE 2,3,Eau,3,"Phase aqueuse de l'eau (filtrée, centrifugée...)",20250307182627-PC-591464,2025-04-09,12:19:00,2025-04-10,16:19:00,1335,Ammonium,0.04,169,mg(NH4)/L
22,03063000,LA SEINE A ABLON-SUR-SEINE 2,3,Eau,3,"Phase aqueuse de l'eau (filtrée, centrifugée...)",20250415145939-PC-593905,2025-05-16,10:48:00,2025-05-17,10:29:00,1335,Ammonium,0.07,169,mg(NH4)/L
23,03063000,LA SEINE A ABLON-SUR-SEINE 2,3,Eau,3,"Phase aqueuse de l'eau (filtrée, centrifugée...)",20250507174326-PC-596502,2025-06-06,11:22:00,2025-06-07,10:10:00,1335,Ammonium,0.09,169,mg(NH4)/L
24,03063000,LA SEINE A ABLON-SUR-SEINE 2,3,Eau,3,"Phase aqueuse de l'eau (filtrée, centrifugée...)",20250514143659-PC-597198,2025-07-10,09:44:00,2025-07-11,11:19:00,1335,Ammonium,0.04,169,mg(NH4)/L
25,03063000,LA SEINE A ABLON-SUR-SEINE 2,3,Eau,3,"Phase aqueuse de l'eau (filtrée, centrifugée...)",20250519114846-PC-598267,2025-08-07,11:00:00,2025-08-08,09:48:00,1335,Ammonium,0.01,169,mg(NH4)/L
26,03063000,LA SEINE A ABLON-SUR-SEINE 2,3,Eau,3,"Phase aqueuse de l'eau (filtrée, centrifugée...)",20250717135928-PC-602664,2025-09-12,10:34:00,2025-09-13,13:26:00,1335,Ammonium,0.05,169,mg(NH4)/L
27,03063000,LA SEINE A ABLON-SUR-SEINE 2,3,Eau,3,"Phase aqueuse de l'eau (filtrée, centrifugée...)",20250805122348-PC-604787,2025-10-09,11:25:00,2025-10-10,08:01:00,1335,Ammonium,0.04,169,mg(NH4)/L
28,03063000,LA SEINE A ABLON-SUR-SEINE 2,3,Eau,3,"Phase aqueuse de l'eau (filtrée, centrifugée...)",20250917115117-PC-608010,2025-11-12,12:08:00,2025-11-13,12:21:00,1335,Ammonium,0.04,169,mg(NH4)/L
29,03063000,LA SEINE A ABLON-SUR-SEINE 2,3,Eau,3,"Phase aqueuse de l'eau (filtrée, centrifugée...)",20251010120555-PC-609670,2025-12-04,12:16:00,2025-12-05,02:57:00,1335,Ammonium,0.05,169,mg(NH4)/L
30,03063000,LA SEINE A ABLON-SUR-SEINE 2,3,Eau,3,"Phase aqueuse de l'eau (filtrée, centrifugée...)",20251127135955-PC-616968,2026-01-13,10:15:00,2026-01-14,08:31:00,1335,Ammonium,0.1,169,mg(NH4)/L
31,03063000,LA SEINE A ABLON-SUR-SEINE 2,3,Eau,3,"Phase aqueuse de l'eau (filtrée, centrifugée...)",20260113222903-PC-619662,2026-02-05,11:22:00,2026-02-06,10:15:00,1335,Ammonium,0.08,169,mg(NH4)/L
32,03063000,LA SEINE A ABLON-SUR-SEINE 2,3,Eau,3,"Phase aqueuse de l'eau (filtrée, centrifugée...)",20260206094950-PC-621509,2026-03-06,10:14:00,2026-03-07,07:57:00,1335,Ammonium,0.04,169,mg(NH4)/L
33,03063000,LA SEINE A ABLON-SUR-SEINE 2,3,Eau,3,"Phase aqueuse de l'eau (filtrée, centrifugée...)",20260306141704-PC-623978,2026-04-07,12:39:00,2026-04-08,09:34:00,1335,Ammonium,0.02,169,mg(NH4)/L
34,03063000,LA SEINE A ABLON-SUR-SEINE 2,6,Sédiments,32,Particule < 2 mm de sédiments,20230612101512-PC-546611,2023-08-21,15:50:00,2023-08-22,08:30:00,1335,Ammonium,66.7,160,mg/(kg MS)
35,03063000,LA SEINE A ABLON-SUR-SEINE 2,6,Sédiments,32,Particule < 2 mm de sédiments,20240528132604-PC-572871,2024-07-04,15:20:00,2024-07-08,09:15:00,1335,Ammonium,66.7,160,mg/(kg MS)
36,03063000,LA SEINE A ABLON-SUR-SEINE 2,6,Sédiments,32,Particule < 2 mm de sédiments,20250530115808-PC-599570,2025-07-24,09:40:00,2025-07-28,09:10:00,1335,Ammonium,66.7,160,mg/(kg MS)
37,03063650,LA SEINE A ORLY 1,3,Eau,3,"Phase aqueuse de l'eau (filtrée, centrifugée...)",20230419085558-PC-543006,2023-07-06,17:28:00,2023-07-07,22:37:00,1335,Ammonium,0.02,169,mg(NH4)/L
38,03063650,LA SEINE A ORLY 1,3,Eau,3,"Phase aqueuse de l'eau (filtrée, centrifugée...)",20230516131748-PC-544664,2023-07-10,12:54:00,2023-07-11,08:27:00,1335,Ammonium,0.02,169,mg(NH4)/L
