CD_NOM;CD_REF;CD_SUP;CD_TYPE_STATUT;LB_TYPE_STATUT;REGROUPEMENT_TYPE;CODE_STATUT;LABEL_STATUT;RQ_STATUT;CD_SIG;CD_DOC;LB_NOM;LB_AUTEUR;NOM_COMPLET_HTML;NOM_VALIDE_HTML;REGNE;PHYLUM;CLASSE;ORDRE;FAMILLE;GROUP1_INPN;GROUP2_INPN;LB_ADM_TR;NIVEAU_ADMIN;CD_ISO3166_1;CD_ISO3166_2;FULL_CITATION;DOC_URL;THEMATIQUE;TYPE_VALUE
67220;67220;190755;LRM;Liste rouge mondiale;Liste rouge;NT;Quasi menacé;A2ac;WORLD;;chondrostoma nasus;(Linnaeus, 1758);<i>Chondrostoma nasus</i> (Linnaeus, 1758);<i>Chondrostoma nasus</i> (Linnaeus, 1758);Animalia;Chordata;Actinopterygii;Cypriniformes;Leuciscidae;Chordés;Poissons;Monde;;;;;;STATUTS;VALUE
67571;67571;189039;LRM;Liste rouge mondiale;Liste rouge;LC;Préoccupation mineure;;WORLD;;ameiurus melas;(Rafinesque, 1820);<i>Ameiurus melas</i> (Rafinesque, 1820);<i>Ameiurus melas</i> (Rafinesque, 1820);Animalia;Chordata;Actinopterygii;Siluriformes;Ictaluridae;Chordés;Poissons;Monde;;;;;;STATUTS;VALUE
115282;115282;196613;LRM;Liste rouge mondiale;Liste rouge;LC;Préoccupation mineure;;WORLD;;potamogeton nodosus;Poir., 1816;<i>Potamogeton nodosus</i> Poir., 1816;<i>Potamogeton nodosus</i> Poir., 1816;Plantae;;Equisetopsida;Alismatales;Potamogetonaceae;Trachéophytes;Angiospermes;Monde;;;;;;STATUTS;VALUE
122069;122069;197540;LRM;Liste rouge mondiale;Liste rouge;LC;Préoccupation mineure;;WORLD;;scutellaria galericulata;L., 1753;<i>Scutellaria galericulata</i> L., 1753;<i>Scutellaria galericulata</i> L., 1753;Plantae;;Equisetopsida;Lamiales;Lamiaceae;Trachéophytes;Angiospermes;Monde;;;;;;STATUTS;VALUE
108027;108027;194615;LRM;Liste rouge mondiale;Liste rouge;LC;Préoccupation mineure;;WORLD;;mentha aquatica;L., 1753;<i>Mentha aquatica</i> L., 1753;<i>Mentha aquatica</i> L., 1753;Plantae;;Equisetopsida;Lamiales;Lamiaceae;Trachéophytes;Angiospermes;Monde;;;;;;STATUTS;VALUE
107038;107038;194338;LRM;Liste rouge mondiale;Liste rouge;LC;Préoccupation mineure;;WORLD;;lycopus europaeus;L., 1753;<i>Lycopus europaeus</i> L., 1753;<i>Lycopus europaeus</i> L., 1753;Plantae;;Equisetopsida;Lamiales;Lamiaceae;Trachéophytes;Angiospermes;Monde;;;;;;STATUTS;VALUE
162667;162667;195669;LRM;Liste rouge mondiale;Liste rouge;LC;Préoccupation mineure;;WORLD;;pacifastacus leniusculus;(Dana, 1852);<i>Pacifastacus leniusculus</i> (Dana, 1852);<i>Pacifastacus leniusculus</i> (Dana, 1852);Animalia;Arthropoda;Malacostraca;Decapoda;Astacidae;Arthropodes;Crustacés;Monde;;;;;;STATUTS;VALUE
67104;67104;188934;LRM;Liste rouge mondiale;Liste rouge;LC;Préoccupation mineure;;WORLD;;alburnoides bipunctatus;(Bloch, 1782);<i>Alburnoides bipunctatus</i> (Bloch, 1782);<i>Alburnoides bipunctatus</i> (Bloch, 1782);Animalia;Chordata;Actinopterygii;Cypriniformes;Leuciscidae;Chordés;Poissons;Monde;;;;;;STATUTS;VALUE
67206;67206;190332;LRM;Liste rouge mondiale;Liste rouge;LC;Préoccupation mineure;;WORLD;;carassius carassius;(Linnaeus, 1758);<i>Carassius carassius</i> (Linnaeus, 1758);<i>Carassius carassius</i> (Linnaeus, 1758);Animalia;Chordata;Actinopterygii;Cypriniformes;Cyprinidae;Chordés;Poissons;Monde;;;;;;STATUTS;VALUE
67143;67143;189750;LRM;Liste rouge mondiale;Liste rouge;LC;Préoccupation mineure;;WORLD;;barbus barbus;(Linnaeus, 1758);<i>Barbus barbus</i> (Linnaeus, 1758);<i>Barbus barbus</i> (Linnaeus, 1758);Animalia;Chordata;Actinopterygii;Cypriniformes;Cyprinidae;Chordés;Poissons;Monde;;;;;;STATUTS;VALUE
67585;67585;197663;LRM;Liste rouge mondiale;Liste rouge;LC;Préoccupation mineure;;WORLD;;silurus glanis;Linnaeus, 1758;<i>Silurus glanis</i> Linnaeus, 1758;<i>Silurus glanis</i> Linnaeus, 1758;Animalia;Chordata;Actinopterygii;Siluriformes;Siluridae;Chordés;Poissons;Monde;;;;;;STATUTS;VALUE
67286;67286;194070;LRM;Liste rouge mondiale;Liste rouge;LC;Préoccupation mineure;;WORLD;;leucaspius delineatus;(Heckel, 1843);<i>Leucaspius delineatus</i> (Heckel, 1843);<i>Leucaspius delineatus</i> (Heckel, 1843);Animalia;Chordata;Actinopterygii;Cypriniformes;Leuciscidae;Chordés;Poissons;Monde;;;;;;STATUTS;VALUE
69350;69350;195954;LRM;Liste rouge mondiale;Liste rouge;LC;Préoccupation mineure;;WORLD;;perca fluviatilis;Linnaeus, 1758;<i>Perca fluviatilis</i> Linnaeus, 1758;<i>Perca fluviatilis</i> Linnaeus, 1758;Animalia;Chordata;Actinopterygii;Perciformes;Percidae;Chordés;Poissons;Monde;;;;;;STATUTS;VALUE
162668;162668;196659;LRM;Liste rouge mondiale;Liste rouge;LC;Préoccupation mineure;;WORLD;;procambarus clarkii;(Girard, 1852);<i>Procambarus clarkii</i> (Girard, 1852);<i>Procambarus clarkii</i> (Girard, 1852);Animalia;Arthropoda;Malacostraca;Decapoda;Cambaridae;Arthropodes;Crustacés;Monde;;;;;;STATUTS;VALUE
68336;68336;194285;LRM;Liste rouge mondiale;Liste rouge;LC;Préoccupation mineure;;WORLD;;lota lota;(Linnaeus, 1758);<i>Lota lota</i> (Linnaeus, 1758);<i>Lota lota</i> (Linnaeus, 1758);Animalia;Chordata;Actinopterygii;Gadiformes;Lotidae;Chordés;Poissons;Monde;;;;;;STATUTS;VALUE
117027;117027;197047;LRM;Liste rouge mondiale;Liste rouge;LC;Préoccupation mineure;;WORLD;;ranunculus fluitans;Lam., 1779;<i>Ranunculus fluitans</i> Lam., 1779;<i>Ranunculus fluitans</i> Lam., 1779;Plantae;;Equisetopsida;Ranunculales;Ranunculaceae;Trachéophytes;Angiospermes;Monde;;;;;;STATUTS;VALUE
67478;67478;198470;LRM;Liste rouge mondiale;Liste rouge;LC;Préoccupation mineure;;WORLD;;tinca tinca;(Linnaeus, 1758);<i>Tinca tinca</i> (Linnaeus, 1758);<i>Tinca tinca</i> (Linnaeus, 1758);Animalia;Chordata;Actinopterygii;Cypriniformes;Tincidae;Chordés;Poissons;Monde;;;;;;STATUTS;VALUE
67304;67304;194072;LRM;Liste rouge mondiale;Liste rouge;LC;Préoccupation mineure;;WORLD;;leuciscus idus;(Linnaeus, 1758);<i>Leuciscus idus</i> (Linnaeus, 1758);<i>Leuciscus idus</i> (Linnaeus, 1758);Animalia;Chordata;Actinopterygii;Cypriniformes;Leuciscidae;Chordés;Poissons;Monde;;;;;;STATUTS;VALUE
107117;107117;194362;LRM;Liste rouge mondiale;Liste rouge;LC;Préoccupation mineure;;WORLD;;lythrum salicaria;L., 1753;<i>Lythrum salicaria</i> L., 1753;<i>Lythrum salicaria</i> L., 1753;Plantae;;Equisetopsida;Myrtales;Lythraceae;Trachéophytes;Angiospermes;Monde;;;;;;STATUTS;VALUE
