,CdStationMesureEauxSurface,LbStationMesureEauxSurface,CdSupport,LbSupport,CdFractionAnalysee,LbFractionAnalysee,CdPrelevement,DatePrel,HeurePrel,DateAna,HeureAna,CdParametre,LbLongParamètre,RsAna,CdUniteMesure,SymUniteMesure
0,03063000,LA SEINE A ABLON-SUR-SEINE 2,3,Eau,23,Eau brute,20230419085527-PC-543005,2023-07-06,15:04:00,2023-07-06,15:04:00,1301,Température de l'Eau,23.9,27,°C
1,03063000,LA SEINE A ABLON-SUR-SEINE 2,3,Eau,23,Eau brute,20230516131746-PC-544663,2023-07-10,12:34:00,2023-07-10,12:34:00,1301,Température de l'Eau,24.6,27,°C
2,03063000,LA SEINE A ABLON-SUR-SEINE 2,3,Eau,23,Eau brute,20230612103617-PC-546706,2023-08-21,15:50:00,2023-08-21,15:50:00,1301,Température de l'Eau,24.4,27,°C
3,03063000,LA SEINE A ABLON-SUR-SEINE 2,3,Eau,23,Eau brute,20230621100457-PC-548447,2023-08-29,09:52:00,2023-08-29,09:52:00,1301,Température de l'Eau,22.2,27,°C
4,03063000,LA SEINE A ABLON-SUR-SEINE 2,3,Eau,23,Eau brute,20230727103914-PC-551261,2023-09-22,10:36:00,2023-09-22,10:36:00,1301,Température de l'Eau,20.1,27,°C
5,03063000,LA SEINE A ABLON-SUR-SEINE 2,3,Eau,23,Eau brute,20230731170120-PC-552559,2023-10-11,12:29:00,2023-10-11,12:29:00,1301,Température de l'Eau,18,27,°C
6,03063000,LA SEINE A ABLON-SUR-SEINE 2,3,Eau,23,Eau brute,20231006122123-PC-554929,2023-11-20,11:48:00,2023-11-20,11:48:00,1301,Température de l'Eau,11.2,27,°C
7,03063000,LA SEINE A ABLON-SUR-SEINE 2,3,Eau,23,Eau brute,20231017113757-PC-556733,2023-12-13,12:13:00,2023-12-13,12:13:00,1301,Température de l'Eau,9.2,27,°C
8,03063000,LA SEINE A ABLON-SUR-SEINE 2,3,Eau,23,Eau brute,20231213112951-PC-559816,2024-01-23,11:49:00,2024-01-23,11:49:00,1301,Température de l'Eau,5.3,27,°C
9,03063000,LA SEINE A ABLON-SUR-SEINE 2,3,Eau,23,Eau brute,20240114170410-PC-562080,2024-02-06,10:53:00,2024-02-06,10:53:00,1301,Température de l'Eau,9.1,27,°C
10,03063000,LA SEINE A ABLON-SUR-SEINE 2,3,Eau,23,Eau brute,20240220104034-PC-565260,2024-03-28,14:46:00,2024-03-28,14:46:00,1301,Température de l'Eau,11.7,27,°C
11,03063000,LA SEINE A ABLON-SUR-SEINE 2,3,Eau,23,Eau brute,20240318180133-PC-566882,2024-04-17,10:27:00,2024-04-17,10:27:00,1301,Température de l'Eau,14.9,27,°C
12,03063000,LA SEINE A ABLON-SUR-SEINE 2,3,Eau,23,Eau brute,20240321164144-PC-568570,2024-05-21,12:02:00,2024-05-21,12:02:00,1301,Température de l'Eau,17.5,27,°C
13,03063000,LA SEINE A ABLON-SUR-SEINE 2,3,Eau,23,Eau brute,20240404103734-PC-570308,2024-06-07,10:49:00,2024-06-07,10:49:00,1301,Température de l'Eau,18.1,27,°C
14,03063000,LA SEINE A ABLON-SUR-SEINE 2,3,Eau,23,Eau brute,20240529140223-PC-573041,2024-07-04,15:20:00,2024-07-04,15:20:00,1301,Température de l'Eau,19.3,27,°C
15,03063000,LA SEINE A ABLON-SUR-SEINE 2,3,Eau,23,Eau brute,20240605164835-PC-574026,2024-07-18,10:26:00,2024-07-18,10:26:00,1301,Température de l'Eau,20.1,27,°C
16,03063000,LA SEINE A ABLON-SUR-SEINE 2,3,Eau,23,Eau brute,20240607130423-PC-575460,2024-08-05,12:06:00,2024-08-05,12:06:00,1301,Température de l'Eau,23.3,27,°C
17,03063000,LA SEINE A ABLON-SUR-SEINE 2,3,Eau,23,Eau brute,20240710152033-PC-577847,2024-09-19,11:44:00,2024-09-19,11:44:00,1301,Température de l'Eau,17.3,27,°C
18,03063000,LA SEINE A ABLON-SUR-SEINE 2,3,Eau,23,Eau brute,20240808095807-PC-579962,2024-10-09,11:11:00,2024-10-09,11:11:00,1301,Température de l'Eau,14.4,27,°C
19,03063000,LA SEINE A ABLON-SUR-SEINE 2,3,Eau,23,Eau brute,20240823124203-PC-580753,2023-07-24,14:21:00,2023-07-24,14:21:00,1301,Température de l'Eau,23.3,27,°C
20,03063000,LA SEINE A ABLON-SUR-SEINE 2,3,Eau,23,Eau brute,20240823124206-PC-580755,2023-08-28,13:34:00,2023-08-28,13:34:00,1301,Température de l'Eau,22.5,27,°C
21,03063000,LA SEINE A ABLON-SUR-SEINE 2,3,Eau,23,Eau brute,20240823124210-PC-580757,2023-09-18,13:53:00,2023-09-18,13:53:00,1301,Température de l'Eau,22.7,27,°C
22,03063000,LA SEINE A ABLON-SUR-SEINE 2,3,Eau,23,Eau brute,20241018150123-PC-583672,2024-12-23,11:41:00,2024-12-23,11:41:00,1301,Température de l'Eau,8,27,°C
23,03063000,LA SEINE A ABLON-SUR-SEINE 2,3,Eau,23,Eau brute,20241209134506-PC-586784,2025-01-21,10:23:00,2025-01-21,10:23:00,1301,Température de l'Eau,3.9,27,°C
24,03063000,LA SEINE A ABLON-SUR-SEINE 2,3,Eau,23,Eau brute,20250113160144-PC-588135,2025-02-07,11:38:00,2025-02-07,11:38:00,1301,Température de l'Eau,6.2,27,°C
25,03063000,LA SEINE A ABLON-SUR-SEINE 2,3,Eau,23,Eau brute,20250130140014-PC-589284,2025-03-14,11:16:00,2025-03-14,11:16:00,1301,Température de l'Eau,9.9,27,°C
26,03063000,LA SEINE A ABLON-SUR-SEINE 2,3,Eau,23,Eau brute,20250307182627-PC-591464,2025-04-09,12:19:00,2025-04-09,12:19:00,1301,Température de l'Eau,14.5,27,°C
